"station_name","total_installed_mig","non_operating_mig","operating_mig","total_installed_m3","non_operating_m3","operating_m3","remarks"
"Umm Birka PRPS","194","0","194","881818","0","881818","Mega RPS"
"Abu Nakhla PRPS","194","0","194","881818","0","881818","Mega RPS"
"Rawdat Rashed PRPS","386","0","386","1754545","0","1754545","Mega RPS"
"Old Salwa","0","0","0","0","0","0","All reservoirs demolished for upgrading"
"Kaaban","6","0","6","27273","0","27273","New RPS commissioned on 25.10.2023"
"Lusail RPS1","14","0","14","63636","0","63636","New RPS commissioned on 05.12.2023"
"Umm Salal PRPS","386","0","386","1754545","0","1754545","Mega RPS"
"Thumama PRPS","261","0","261","1186364","0","1186364","Mega RPS"
"Wukair","36","0","36","163636","0","163636","No remarks"
"New Salwa","30","0","30","136364","0","136364","No remarks"
"Bani Hajr","36","0","36","163636","0","163636","No remarks"
"Muaither","105","0","105","477273","0","477273","No remarks"
"Wakrah","10","0","10","45455","0","45455","No remarks"
"Messaieed Town","24","0","24","109091","0","109091","No remarks"
"Umm Salal 1","6","0","6","27273","0","27273","No remarks"
"Shahaniyah 2","12","0","12","54545","0","54545","No remarks"
"Shahaniyah 3","12","0","12","54545","0","54545","No remarks"
"Pearl of Qatar","4","0","4","18182","0","18182","No remarks"
"Jeryan","1","0","1","4545","0","4545","No remarks"
"Doha South","84","0","84","381818","0","381818","No remarks"
"Mesaimeer","108","0","108","490909","0","490909","No remarks"
"Salwa Industrial","51","0","51","231818","0","231818","No remarks"
"Umm Qarn","71","0","71","322727","0","322727","No remarks"
"Al Khor 1","4","0","4","18182","0","18182","No remarks"
"Al Khor 3","18","0","18","81818","0","81818","No remarks"
"Umm Salal 2","18","0","18","81818","0","81818","No remarks"
"Small & Medium","7.97","0","7.97","36209","0","36209","No remarks"
"Labor City","6.6","0","6.6","30000","0","30000","No remarks"
"Lusail RPS4","6.6","0","6.6","30000","0","30000","No remarks"
"Lusail RPS2","8.36","0","8.36","38000","0","38000","No remarks"
"Airport","21","0","21","95455","0","95455","No remarks"
"Garrafa","50","0","50","227273","0","227273","No remarks"
"West Bay","56","0","56","254545","0","254545","No remarks"
"Duhail","142","0","142","645455","0","645455","No remarks"
"Messaieed Industrial","28","0","28","127273","0","127273","No remarks"
"Al Khor 2","6","0","6","27273","0","27273","No remarks"
"Madinat Shamal","10","0","10","45455","0","45455","No remarks"
"Guwairiyah","1","0","1","4545","0","4545","No remarks"
"Peninsula","1","0","1","4545","0","4545","No remarks"
